Provinsi;Kabupaten;Kode;Nama;Alamat;Kode_prov;Kode_kab
ACEH;KOTA LANGSA;1173045;RS Cut Nyak Dhien Langsa;Jl. T.M. Bachrun No.1. Langsa;11;1173
ACEH;KOTA LANGSA;1173003;RSU UMMI LANGSA;Jl. Prof. Majid Ibrahim No.10 A Kota Langsa;11;1173
ACEH;KOTA LANGSA;1173012;RSU Langsa;Jl. Ahmad Yani No.1 Langsa Kota;11;1173
ACEH;KOTA LANGSA;1173023;RSU Cut Meutia;Jl. Garuda Kebun Baru,Langsa;11;1173
ACEH;KOTA LHOKSEUMAWE;1111018;PMI Cabang Aceh Utara;Jl. Samudera Kp. Jawa Lama;11;1174
ACEH;KOTA LHOKSEUMAWE;1110053;RS PT Arun;JL. PLAJU KOMPLEK PERUMAHAN PT ARUN. BATUPHAT.;11;1174
ACEH;KOTA LHOKSEUMAWE;1174100;Rumkit Tk IV Lhokseumawe Aceh Utara;Jl. Samudra Lhokseumawe AUT;11;1174
ACEH;KOTA LHOKSEUMAWE;1174019S;RSU BUNGA MELATI;JLN. SAMUDRA BARU NO.3, KEUDE ACEH KEC. BANDA SAKTI;11;1174
ACEH;KOTA LHOKSEUMAWE;1174016;RSU Cut Meutia Lhoksemawe;Jl. Banda Aceh-Medan Km.6 Buket Rata Lhokseumawe;11;1174
ACEH;KOTA LHOKSEUMAWE;1174064;RS Yayasan Kasih Ibu;Jl. Merdeka No.17. Lhokseumawe;11;1174
ACEH;KOTA LHOKSEUMAWE;1110086;RSIA Bunda;Jl. Darussalam 16.Lhokseumawe;11;1174
ACEH;KOTA LHOKSEUMAWE;1174020S;RS Islam Materna;Jl. Merdeka Barat No. 25;11;1174
ACEH;KOTA SABANG;1172016;RSU Sabang;Jl. Teuku Umar Sabang;11;1172
ACEH;KOTA SABANG;1172031;Rumkital Sabang;Jl. Tk Chik Ditiro Sabang;11;1172
ACEH;KOTA SUBULUSSALAM;1102027;RSUD Kota Subulussalam;Jl. Subussalam - Runding KM.5 Dusun Rahmah Kec. Simpang Kiri Kota Subussalam;11;1175
ACEH;NAGAN RAYA;1115012;RSUD Nagan Raya;Jl. Nasional Km.28,5 Ujung Patihah;11;1115
ACEH;PIDIE;1109027;RSUD TGK. ABDULLAH SYAFII BEUREUNEUN;Jl. Banda Aceh - Medan Km.125,5 Kota Mini - Beureunuen;11;1109
ACEH;PIDIE;1109029S;RSU Citra Husada;Jl. Prof. A. Majid Ibrahim Lampeudeu Baroh Tijue;11;1109
ACEH;PIDIE;1109016;RSUD TGK CHIK DITIRO SIGLI;Jl. Prof. A. Majid Ibrahim Sigli;11;1109
ACEH;PIDIE;1109028S;RSU Mufid;Jl.Prof.A.Majid Ibrahim No.62-66 Blok Sawah;11;1109
ACEH;PIDIE JAYA;1118012;RSUD PIDIE JAYA;Jl. Banda - Aceh KM. 158, Meureudu;11;1118
ACEH;SIMEULUE;1101015;RSUD Simeulue;Kab.Simeulue;11;1101
SUMATERA UTARA;ASAHAN;1208054;RS Megasari;Jl. Lintas Sumatera Km. 10 Kec Air Batu Kab. Asahan;12;1208
SUMATERA UTARA;ASAHAN;1208056S;RS SETIO HUSODO;JL. SM. Raja No.67 Kisaran;12;1208
SUMATERA UTARA;ASAHAN;1208020;RS Ibu Kartini;Jl. Sekh Silau Rengas Kisaran;12;1208
SUMATERA UTARA;ASAHAN;1208053;RS PTPN III Sei Dadap;Jl. Protokol Sei Dadap-Sumut;12;1208
SUMATERA UTARA;ASAHAN;1208016;RSU H.Abd.Manan Simatupang, Kisaran;Jl. Sisingamangaraja No. 310 Kisaran;12;1208
SUMATERA UTARA;ASAHAN;1208042;RS PT Inalum;Tanjung Gading, Kab.Asahan;12;1208
SUMATERA UTARA;BATU BARA;1219002;RSIA Keluarga Lasmi;Jl. Pancasila Dusun X desa Tanah Tinggi;12;1219
SUMATERA UTARA;BATU BARA;1219003;RSUD BATU BARA;Jl. Datuk Kubah Batu Bara, Kuwala Gunung Kec. Lima Puluh Kab. Batu Bara;12;1219
SUMATERA UTARA;DAIRI;1210010;RSU Sidikalang;Jl. Rumah Sakit 19,Sidikalang;12;1210
SUMATERA UTARA;DELI SERDANG;1212012;RSUD Deli Serdang;Jl. Thamrin;12;1212
SUMATERA UTARA;DELI SERDANG;1212045;RS Sembiring;Jl. Besar No.77, Deli Tua;12;1212
SUMATERA UTARA;DELI SERDANG;1275794;RSU Haji Medan;Jl. RS. Haji Medan Estate;12;1212
SUMATERA UTARA;DELI SERDANG;1212082;RS Nur Saadah;Tanjung Morawa Km.12,Deli Serdang;12;1212
SUMATERA UTARA;DELI SERDANG;1275147;RS Full Bethesda;Jl. Binjai Km.10,8/Jl. Sama No.71, Medan;12;1212
SUMATERA UTARA;DELI SERDANG;1212114;RS Halvetia;Jl. Kapt Sumars No.Deli Serdang;12;1212
SUMATERA UTARA;DELI SERDANG;1212171;RS Rahmad Hidayah;Jl. Limau Manis Pasar XIII No.61, Desa Limau Manis, Tanjung Morawa;12;1212
SUMATERA UTARA;DELI SERDANG;1212136;RSU Sinar Husni;Jl. Veteran Gg.Utama Psr.V Helvetia,Deli Serdang;12;1212
SUMATERA UTARA;DELI SERDANG;1212173;RSU MITRA HUSADA;JL. GAMBIR PASAR VIII NO 100;12;1212
SUMATERA UTARA;DELI SERDANG;1212172;Rumah Sakit Patar Asih;jl. bakaran batu desa Tumpatan Dusun manggis no. 45;12;1212
SUMATERA UTARA;DELI SERDANG;1212023;RS Dr Gerhard L Tobing;Desa Buntu Bedimbar Tanjung Morawa Deli Serdang;12;1212
SUMATERA UTARA;DELI SERDANG;1212071;RSU Anirma;Jl. Teratai Baru Gg. Amal No. 95 Deli Tua;12;1212
SUMATERA UTARA;DELI SERDANG;1212067S;RS Hidayah;Jl. Medan Deli Tua Km. 8,5 No. 55;12;1212
SUMATERA UTARA;DELI SERDANG;1212093;RS Sari Mutiara Lubuk Pakam;Jl. Medan No.17,Lubuk Pakam;12;1212
SUMATERA UTARA;DELI SERDANG;1212169;RSU Morawa Utama;Jl. Medan Tanjung Morawa Km.18,5, Tanjung Morawa - Deli Serdang;12;1212
SUMATERA UTARA;DELI SERDANG;1218158;RS Grand Medistra;Jl. Medan No.66 Lubuk Pakam;12;1212
SUMATERA UTARA;HUMBANG HASUNDUTAN;1205035;RSU Dolok Sanggul;Jl. RSU NO.1;12;1215
SUMATERA UTARA;KARO;1211033;RS Kusta Lau Simomo;Desa Lau Simomo,Kec.Kabanjahe,Kab.Karo;12;1211
SUMATERA UTARA;KARO;1211011;RSU Kabanjahe;Jl. Kapten Selamat Ketaren No. 08 Kabanjahe;12;1211
SUMATERA UTARA;KARO;1211092;RS Ester;Jl. Veteran No.21,Kabanjahe;12;1211
SUMATERA UTARA;KARO;1211124;RS Efarina Etaham;Jl. Djamin Ginting, Berastagi - Desa Raya, Kab. Karo;12;1211
SUMATERA UTARA;KARO;1211125S;RSU FLORA;jl. letjen jamin ginting no. 81 Kabanjahe;12;1211
SUMATERA UTARA;KOTA BINJAI;1276025;RS PTP IX Bangkatan;Jl. Hasanuddin no.40 Binjai;12;1276
SUMATERA UTARA;KOTA BINJAI;1276036;RSU Artha Medica;Binjai Sumatera Utara;12;1276
SUMATERA UTARA;KOTA BINJAI;1276014;RSU Dr.RM Joelham Binjai;Jl. Sultan Hasanuddin 9,Binjai;12;1276
SUMATERA UTARA;KOTA BINJAI;1276040;Rumkit Tk IV 01.07.02 Binjai;Jl. Bandung No.4,Binjai;12;1276
SUMATERA UTARA;KOTA BINJAI;1276075;RSU.BIDADARI;Jl. Perintis Kemerdekaan No. 174;12;1276
SUMATERA UTARA;KOTA BINJAI;1276074;RS Latersia;Jl.Soekarno Hatta Km 18 No 451;12;1276
SUMATERA UTARA;KOTA GUNUNG SITOLI;1278002;RSU Bethesda;Jl. Diponoegoro no.375 C;12;1278
SUMATERA UTARA;KOTA MEDAN;1275905;SANTA ELISABETH;Jl. Haji Misbah No.7 Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275046;Rumkit Bhayankara Medan;Jl. KH Wahid Hasyim No.1, Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275735;RS Sehat;Jl. Letda Sujono No.20 E Bandar selamat,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275072;RS Santa Elisabeth Medan;Jl. Haji Misbah No.7,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275772;RS Bandung;Jl. Mistar Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275997;RSU Bina Kasih;Jl. Jend. TB.Simatupang No.148 Sunggal;12;1275
SUMATERA UTARA;KOTA MEDAN;1275094;RS Advent Medan;Jl. Gatot Subroto Km.4,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275999;Rumah Sakit Jiwa Bina Karsa Medan;Jl. Pales III Simpang Perumnas Simalingkar/Jl. Let. Jend. Djamin Ginting Km.9;12;1275
SUMATERA UTARA;KOTA MEDAN;1275130;RS Materna;Jl. Teuku Umar 9-11,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275830;RS Wulan Windy;Rengas Pulau, Merelan,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275894S;RSU MITRA PERSADA MEDAN;Jl. Letjend Jamin Ginting Km. 9.8 No. 166 Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275321;RSU Siti Hajar;Jl. Letjend Jamin Ginting No.2, Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275152;RS Lanu Dr ABD Malik;Jl. Imam Bonjol No.1,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275852;RS Columbia Asia, Medan;Jl. Listrik No.2A,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275874;RSGM Univ.Sumatera Utara;Jl. Alumni No.2,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275196;RS Sari Mutiara;Jl. Kapten Muslim 79, Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275996;RS Sufina Azis;Jl. Karya Baru No.1,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275232;"RSK Bedah ""Accuplast""";Jl. Sei Bahbolon No.40, Medan Baru;12;1275
SUMATERA UTARA;KOTA MEDAN;1275891S;RS Mandiri;Jl. Cendana No. 2;12;1275
SUMATERA UTARA;KOTA MEDAN;1275221;RS Jiwa Medan;Jl. Tali Air 21 Padang Bulan,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275804;RSIA Badrul Aini;Jl. Bromo Gg.Sukri No.18,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275893S;RS Ibu dan Anak AZ-Zakiyah;Jl. Mustafa No. 4a/18 Kec. Medan Timur;12;1275
SUMATERA UTARA;KOTA MEDAN;1275265;RSU Sundari;Jl. Jend. T.B.Simatupang No.31,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275100S;RSU METHODIS SUSANNA WESLEY;Jl. Setia Budi Pasar II Tanjung Sari;12;1275
SUMATERA UTARA;KOTA MEDAN;1275298;RSU Mitra Sejati;Jl. Jend.AH Nasution No.7 Pangkalan Masyhur Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275895S;RSAB Salam;Jl. Flamboyan Raya No. 68 Tanjung Redo Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275590;RS Bhakti;Jl. HM Joni No.64,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275746;RS Mayasari;Rengas Pulau Medan Labuhan,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275622;RS Imelda;Jl. Bilal No.24 Pulo Brayan Darat I,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275644;RS Melati;Jl. Timor No.27 D,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275670;RS Bina Sejahtera;Jl. Simpang Kantor No.6, Medan Labuhan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275702;RSIA Sri Ratu;Jl. Nibung Raya No.204,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275035;Rumkit Tk II Putri Hijau Medan;Jl. Putri Hijau No. 17, Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275724;RSU Sarah;Jl. Baja Raya No.10,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275050;RS Deli;Jl. Merbabu No.18,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275750;RS Prof.Dr. Boloni;Jl. Monginsidi No.11,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275083;RS Herna;Jl. Mojapahit 118 A,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275783;RSIA Rosiva;Jl. Bangka No 15 Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275126;RS Methodist;Jl. M. H. Thamrin No. 105, Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275826;RS Bahagia Medan;Jl. Bahagia 85 Ds.Teladan,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275061;RS Delima Medan;Jl.Kl. Yos Sudarso Km.13,6 No.19 A, Medan - Martubung;12;1275
SUMATERA UTARA;KOTA MEDAN;1275141;RS AL Belawan;Jl. Bengkalis Belawan No.1,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275841;RS Estomihi;Jl. Sisinga Mangaraja 235,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275163;RS Islam Malahayati;Jl. Pangeran Diponegoro No.2-4 Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275863;RSIA Harapan Ibu;Jl. Danau Singkarak 13 A,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275885;RSU Muhammadiyah Sumatera Utara;Jl. Mandala By Pass No.27,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275897;RSU RESTU IBU;Jl. Gatot Subroto KM 8.5 No. 434;12;1275
SUMATERA UTARA;KOTA MEDAN;1275210;RS Jiwa Bina Atma;Jl. Hos Cokroaminoto No.122, Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275309;RSK Mata Medan Baru Medical Centre;Jl. Abdullah Lubis No.67, Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275892S;RSU Ridos;Jl. Menteng VII no.62 Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275889;Murni Teguh Memorial Hospital;Jalan Jawa No. 2 Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275254;RS Kusta Pulau Sicanang;Pulau Sicanang Belawan,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275276;RSU Vina Estetica;Jl. Sultan Iskandar Muda No.119;12;1275
SUMATERA UTARA;KOTA MEDAN;1275356;RS Hisarma;Jl. Gatot Subroto 108,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275890;RSU Bunda Thamrin;Jln. Sei Batang Hari;12;1275
SUMATERA UTARA;KOTA MEDAN;1275516;RSU Mitra Medika;Jl. K.L. Yos Sudarso Km 7,5 Tanjung Mulia,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275600;RS Pel Belawan I Bahagia;Jl. Stasiun No.92, Belawan Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275888S;RSU Martha Friska Multatuli;Jl. Multatuli Komplek Taman Multatuli Indah No.1 Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275633;RS Martha Friska;Jl. Yos Sudarso Km.6 No. 91,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275655;RSU H Adam Malik;Jl. Bunga Lau N0. 17, Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275692;RS Permata Bunda;Jl. Sisingamangaraja No. 07,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275013;RSU Dr Pirngadi;Jl. Prof H M Yamin SH 47, Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275887S;RSU. IBNU SALEH;Jl. HM. Joni No.64/63A-65;12;1275
SUMATERA UTARA;KOTA MEDAN;1275713;RSU Martondi;Jl. Letda Sujono No.80-82,Medan;12;1275
SUMATERA UTARA;KOTA MEDAN;1275998;RSIA Stella Maris;Jl. Samanhudi No.20;12;1275
SUMATERA UTARA;KOTA MEDAN;1275898;Sumatera Eye Hospital;Jl. Iskandar Muda No.278;12;1275
SUMATERA UTARA;KOTA MEDAN;1275900S;RUMAH SAKIT UMUM FAJAR;jalan cempaka no. 35 kecamatan medan polonia;12;1275
SUMATERA UTARA;KOTA MEDAN;1275899S;RSU TERE MARGARETH;jl. ring road setia budi kel. tj.sari;12;1275
SUMATERA UTARA;KOTA PADANG SIDEMPUAN;1277015;RS Tingkat IV 01.07.03;Jl. Sudirman No.1 Kelurahan : Losung Batu, Kecamatan : Padang Sidempuan.;12;1277
SUMATERA UTARA;KOTA PADANG SIDEMPUAN;1277011;RSU Padang Sidempuan;Jl. Dr. F.L. Tobing,Pd Sidempuan;12;1277
SUMATERA UTARA;KOTA PADANG SIDEMPUAN;1277026;RSU Inanta;Jl. Sisingamangaraja No.85/87, Padang Sidempuan Sumatera Utara;12;1277
SUMATERA UTARA;KOTA PEMATANG SIANTAR;1273103S;RS HARAPAN;Jl. Farel Pasaribu No. 21;12;1273
SUMATERA UTARA;KOTA PEMATANG SIANTAR;1273022;Rumkit Tk IV Pematang Siantar;Jl. Gn Simanuk Manuk,P Siantar;12;1273
SUMATERA UTARA;KOTA PEMATANG SIANTAR;1273055;RS Vita Insani;Jl. Merdeka No.239, Pematang Siantar;12;1273
SUMATERA UTARA;KOTA PEMATANG SIANTAR;1273011;RSUD.Dr. Djasaman Saragih;Jl. Sutomo No. 230, Pematangsiantar;12;1273
SUMATERA UTARA;KOTA PEMATANG SIANTAR;1273033;RS Harapan;Jl. Farel Pasaribu 21,P.Siantar;12;1273
SUMATERA UTARA;KOTA PEMATANG SIANTAR;1273102;RS Horas Insani;Jl. Medan Km.2,5,Pematang Siantar;12;1273
SUMATERA UTARA;KOTA PEMATANG SIANTAR;1273104;RSIA SUAKA INSAN;Jl. Seram Atas No. 5 B;12;1273
SUMATERA UTARA;KOTA SIBOLGA;1271032S;RS METTA MEDIKA SIBOLGA;JL. SUTOYO SISWOMIHARJO NO. 34 SIBOLGA;12;1271
SUMATERA UTARA;KOTA SIBOLGA;1271016;RSU Dr Fl Tobing Sibolga;Jl. Dr. F.L. Tobing No. 35 Sibolga;12;1271
SUMATERA UTARA;KOTA TANJUNG BALAI;1272010;BPRSU Dr. Tengku Mansyur;Jl. Mayjen Sutoyo NO. 39 Tanjung Balai;12;1272
SUMATERA UTARA;KOTA TEBING TINGGI;1274012;RSUD.Dr. H.Kumpulan Pane;Jl. Dr. K. Pane Tebing Tinggi;12;1274
SUMATERA UTARA;KOTA TEBING TINGGI;1274056;RS Herna Tebing Tinggi;Jl. Balai Kota No.2,Tebing Tinggi;12;1274
SUMATERA UTARA;KOTA TEBING TINGGI;1274058S;RS BHAYANGKARA TEBING TINGGI;JL. PAHLAWAN NO. 17;12;1274
SUMATERA UTARA;KOTA TEBING TINGGI;1274034;RS PTPN III Sri Pamela;Jl. Jend Sudirman Tebing Tinggi;12;1274
SUMATERA UTARA;LABUHAN BATU;1207026;RS PTP III Indrya Husada;Membang Muda Labuhan Batu;12;1207
SUMATERA UTARA;LABUHAN BATU;1207052;RS Sri Torgamba;Torgamba Aek Batu,Labuhan Batu;12;1207
SUMATERA UTARA;LABUHAN BATU;1207064;RSU Kasih Ibu;Jl. Torpisang Mata No. 16 Rantau Rapat;12;1207
SUMATERA UTARA;LABUHAN BATU;1207015;RSU Rantau Prapat;Jl. KH Dewantara 129, Rantau Prapat;12;1207
SUMATERA UTARA;LABUHAN BATU;1207030;RS PTP III Aek Nabara;Aek Nabara Kab.Labuhan Batu;12;1207
SUMATERA UTARA;LABUHAN BATU SELATAN;1222002;RSUD Kota Pinang;Jl. Istana No. 26;12;1222
SUMATERA UTARA;LABUHAN BATU UTARA;1223002S;RSUD KABUPATEN AEK KANOPAN;Jln. Jendral Sudirman. No. 25 Aek Kanopan;12;1223
SUMATERA UTARA;LANGKAT;1213057;RSU Delia;Jl. K.H. Dewantara No.24 Kec. Selesai Kabupaten Langkat;12;1213
SUMATERA UTARA;LANGKAT;1213024;RS PTP II Tg Selamat;Padang Tualang Langkat;12;1213
SUMATERA UTARA;LANGKAT;1213046;"RSU "" Insani """;Jl. Perniagaan No.36 Kel.Stabat Baru Kec.Stabat Kabupaten Langkat;12;1213
SUMATERA UTARA;LANGKAT;1213013;RSU Tanjung Pura;Jl. Khairil Anwar Tanjung Pura;12;1213
SUMATERA UTARA;LANGKAT;1213035;RS Pertamina P Brandan;JALAN WAHIDIN NO 1 PANGKALAN BERANDAN;12;1213
SUMATERA UTARA;MANDAILING NATAL;1202029S;ARMINA MADINA;Jl. Merdeka No. 23 Kayu Jati - Panyabungan;12;1202
SUMATERA UTARA;MANDAILING NATAL;1202017;RSUD Natal;Jl. Multatuli No. 72,Kab.Mandailing Natal;12;1202
SUMATERA UTARA;MANDAILING NATAL;1203022;RSU Panyabungan;Jl. Merdeka No.40, Kayu Jati Panyabungan;12;1202
SUMATERA UTARA;MANDAILING NATAL;1202028;RSU Permata Madina;Jl. Merdeka No. 155 Kelurahan Kayu Jati Kecamatan Panyabungan;12;1202
SUMATERA UTARA;NIAS;1201016;RSU Gunung Sitoli;Jl. dr. CiptomangunKusumo No 15 Gunungsitoli;12;1201
SUMATERA UTARA;NIAS SELATAN;1214010;RSUD Lukas Hilisimaetano;Kabupaten Nias Selatan;12;1214
SUMATERA UTARA;NIAS SELATAN;1214011;Rumah Sakit Umum Stella Maris;Jl. Mgr. Albertus Soegijapranata Bintang Laut Telukdalam;12;1214
SUMATERA UTARA;PADANG LAWAS;1221002S;RSU PERMATA MADINA SIBUHUAN;Jl. Ki Hajar Dewantara Sibuhuan;12;1221
SUMATERA UTARA;PADANG LAWAS;1203055;RSUD Sibuhuan;Jln. KH. Dewantara Sibuhuan Kec. Barumun;12;1221
SUMATERA UTARA;PADANG LAWAS UTARA;1203044;RSUD Gunung Tua;JL. RAYA GUNUNG TUA - BINANGA, KM-6;12;1220
SUMATERA UTARA;PAKPAK BHARAT;1216011;RSUD Salak Kab.PakPak Bharat;Salak, Kab.Pakpak Bharat;12;1216
SUMATERA UTARA;SAMOSIR;1205024;RSU Dr Hadrianus Sinaga;Jl. Dr Hadrianus Sinaga No. 86 Pangururan;12;1217
