Name,Link,Nomor Kontak,Alamat,Kota / Kabupaten,Jenis Layanan / Barang
Isi Ulang Oxygen Cahaya Gas,,0813-1686-1318,"RT 002 RW 001 Bojongsari, Jl. Raya Parung, Curug, Bojongsari, Kota Depok, Jawa Barat 16517","Depok / Bogor
",Isi Ulang Tabung Oksigen
Sewa tabung oksigen,,0838-1397-3995,"Cluster melati hills Blok Lf 6, Duren Mekar, Bojongsari, Kota Depok, Jawa Barat 16516","Depok / Bogor
",Isi Ulang Tabung Oksigen
Oxygen Isi Ulang,,,"Jl. Tanah Baru Blok Swadaya No.3A, Pancoran MAS, Depok City, West Java 16436","Depok / Bogor
",Isi Ulang Tabung Oksigen
Bogor Oxsigen,https://bogoroxygen.business.site/,0821-2408-3993,Jl Otto Iskandardinata No.68 Bogor Timur Jawa Barat 16122,"Depok / Bogor
",Isi Ulang Tabung Oksigen
TRIO SEJATI OKSIGEN,https://oksigentriosejati.business.site/,0817-6886-914,"Jalan Lawang Gintung No.15 RT.01/RW.08, Lawanggintung Kecamatan Bogor Selatan Kota Bogor, Jawa Barat 16133","Depok / Bogor
",Isi Ulang Tabung Oksigen
AL ROYAN GAS 1974,,62251-8333917,"Jl. Kb. Pedes No.1, RT.06/RW.08, Kedungbadak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16164","Depok / Bogor
",Isi Ulang Tabung Oksigen
Isi Ulang Oxygen Bogor Bekasi,https://isi-ulang-oxygen-bogor-bekasi.business.site/?utm_source=gmb&utm_medium=referral,"0896-7898-2012
0851-5627-8731","Jalan Raya Bojong Kulur, Bojong Kulur, Kecamatan Gunung Putri Bogor Jawa Barat 16969","Depok / Bogor
",Isi Ulang Tabung Oksigen
Karyaguna gas,https://karyagunagas.com/contact-us/,"(021) 8799 0200
0812 135 7047","Jl. Tegar Beriman Raya No 88A
Desa Bojong baru – Cibinong","Depok / Bogor
",Isi Ulang Tabung Oksigen
Isi Ulang Oksigen Medical,wa.me/6281220094510,,"Jl. A.H. Nasution No.98B, Sukamiskin, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293","Bandung
","Oksigen 1m3
Jaminan 700.000
Sewa 300.000
Isi 30.000 ( diambil kesini ) 50.000 ( diantar )"
,,,,"Bandung
",
,,,,"Bandung
",
,,,,"Bandung
",
Griyakami Homecare,wa.me/6283822850596,,,"Bandung
",
Oxyoka Oxygen Refill Centre,wa.me/6282117826708,,,"Bandung
",
Blessing Homecare,wa.me/6282214773317,,,"Bandung
",
Oksigen 24 Jam,wa.me/6281220094510,,,"Bandung
",
Isi ulang OKSIGEN – OXYGOLD,wa.me/82116993330,,"Jl. Rumah Sakit No.24, Pakemitan, Cinambo, Kota Bandung, Jawa Barat 45474","Bandung
",
"ATOZ GAS ( Isi Ulang Oksigen, Argon, Hidrogen DLL )",wa.me/628112009697,,"Jl Nusa Indah Raya No 03 ( EA MOTOR ) Pintu Satu Bumi Rancaekek Kencana, Rancaekek Wetan, Rancaekek, Kab Bandung, Jawa Barat 40394","Bandung
",
"Isi ulang OKSIGEN – OXYGOLD 4, Oksigen Center APOTIK K24","022-87342150, 87342149,",,"Jl. Ibrahim Aji no. 304 Kiara Condong, Bandung","Bandung
",
,wa.me/6282116993330,,"Batununggal, Kota Bandung, Jawa Barat 40275","Bandung
",
"Isi ulang OKSIGEN – OXYGOLD 3, Oksigen Center APOTIK K25",wa.me/6282116993330,,"Jl. Sarimanah No.23, Sarijadi, Sukasari, Kota Bandung, Jawa Barat 40151","Bandung
",
,,,,"Bandung
",
Isi Ulang Oksigen Bandung Susi,wa.me/6282130000374,,,"Bandung
",
"Restu Fadhil Gas
AGEN ISI ULANG OKSIGEN MEDICAL BUKA 24 JAM & SIAP ANTAR",wa.me/6281220094510,,Arcamanik- Bandung,"Bandung
",
"Isi Ulang Oksigen - OXYGOLD 2, Oksigen Center Toko Alkes Pertokoan Metro",wa.me/6282116993330,,"TOKO ALKES pertokoan metro, Jl. Venus Bar., Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat 40286","Bandung
",
,,,,"Bandung
",
"Isi Ulang Oksigen - OXYGOLD 5, Oksigen Center Apotik K24",wa.me/6282116993330,,"Jl. Moch Toha no. 355 B - C telp 022-5226477, Karasak, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40243","Bandung
",
,0225226477,,,"Bandung
",
MGN,"0226006555
wa.me/628122053053 - Pak Margono
wa.me/685974686722 - Pak Margono",,"Jl. Cijerah 2 Blok 15 No.28, Gg. Sami Asih","Bandung
","Oksigen tersedia
Harga sekali pengisian: Rp 35.000"
PT. CIPTA KARUNIA MANDIRI,"0222784686
wa.me/682116664177 - Nana",,Jl Raya Lembang KM 15 N0 134 Batureok,"Bandung
",
OXYOKA,wa.me/682117826708 - Ayu,,Jl. Pasirsalam no 9 bandung,"Bandung
",
PT. SEKARGUNA MEDIKA/Toko ARNEZ,wa.me/681272858832 - Asna,,Jl Kebonjati No 41 Bandung,"Bandung
",
PT CBR,0226014183 - Wina,,Jl. Supadio No 31 Bandung,"Bandung
",
PT.Tidaya Gas,,,Depan Pasar Induk Caringin Pager Biru,"Bandung
",
Aneka Gas,,,Jl Simpang Industri Belakang Hilton,"Bandung
",
"SAM JAYA PERKASA, PT","wa.me/683806511790
wa.me/685723565321",,JL. PAJAJARAN NO.123 A RT.006 RW.002 KEL. ARJUNA KEC. CICENDO,"Bandung
",
PT. GRIYAKAMI,"0227272416
wa.me/681931391666",,JL. BRANTAS NO. 7 RT/RW : 02/02 CIHAPIT-BANDUNG WETAN,"Bandung
",
RATIH RATNA SULISTIAWATI / ARUNA,wa.me/68122028653,,JL. CITEPUS II RT.001 RW.006 PAJAJARAN CICENDO,"Bandung
",
BANDUNG JAYA,"0227563896
wa.me/685795331066",,SOEKARNO HATTA NO 94 RT 05 RW 06 BATUNUNGGAL BANDUNG KIDUL,"Bandung
",
DADAN SUWANDANA / BHN,,,JL.BAHAGIA PERMAI III NO.41 RT. 001 RW.005 MARGASARI BUAH BATU,"Bandung
",
CV MULIA,wa.me/681931201990,,PASAR SELATAN NO. 15 RT. 007 RW. 001 KEBON JERUK ANDIR,"Bandung
",
ENDANG SUTIANA /SETIA GAS,"02278419427
0224201593
0226038275",,JL. RANCABENTANG NO.37 RT.007 RW.005 CIBEUREUM CIMAHI SELATAN,"Bandung
",
CV. SANGKURIANG,0226031397,,JL. JEND.SUDIRMAN NO.631 WARUNG MUNCANG,"Bandung
",
KMR,wa.me/681320730987,,"JL. CISARANTEN KULON NO 35,BDG","Bandung
",
MAMAN INTIGAS,wa.me/681221576743,,"JL. RAYA BARAT NO 123, CICALENGKA, BDG","Bandung
",
AZ,wa.me/689655031822,,"JL. NEGLARASA NO 7B PASANGGRAHAN, UJUNG BERUNG, BDG","Bandung
",
I WAHYU,wa.me/685780844804,,"JL. GEDE BAGE NO 100, BDG","Bandung
",
TASMAN,wa.me/682214002655,,"JL. CIPAERA NO 2, BDG","Bandung
",
AA SUJANA,wa.me/681222649834,,"JL. RANCAEKEK, BDG","Bandung
",
MANDIRI GAS,wa.me/685221481125,,JL. SUMEDANG,"Bandung
",
DEDI SAEFUDIN,wa.me/682293557828,,"JL. LASWI NO 916, BDG","Bandung
",
SAIRIN GAS,wa.me/681214234006,,"JL. PURBASARI NO 1, BDG","Bandung
",
MITRA GAS,wa.me/68117331372,,"JL. EBORJABIN KAV 1, JATISARI, BDG","Bandung
",
SAC,wa.me/681394334266,,"JL. LEUMBOONG NO 94, BDG","Bandung
",
Bapak Sumari,,,"Gang Duwet Timur II, Duwet Ngaliyan 05/10, Ngaliyan",Kota Semarang,Isi Ulang Tabung Oksigen
Oke Oksigen,Oke Oksigen - Refill Oxygen Tank 0856-3038-808 https://goo.gl/maps/q97EhxfMYp3YfPkX8,+62 812 34403430,"YKP Pandugo 1 Blok PB No.21, Rungkut, Surabaya, 60297",Surabaya,Pembelian tabung (terbatas) dan isi ulang tabung oksigen serta menyewakan bulanan
PT. Aneka Gas Industri,https://isioksigen.net/2019/06/22/tempat-isi-ulang-oksigen-di-bontang-dan-sekitarnya/,,"Jl. Tursina Barat No. RT 15 RW Kel Guntung Kec. Bontang Utara, Bontang, Kalimantan Timur",Bontang,"1. Tabung Oksigen Ukuran 1m3 sudah termasuk isi, siap pakai 2. Selang Nasal Oksigen mulai dari ukuran Bayi, Anak atau Dewasa 3. Regulator Oksigen Medis 4. Air Steril Aquapack untuk mengisi humidifier regulator oksigen Anda 5. Oxygen Concentrator kapasitas mulai dari 5 liter per menit"
CV. Sarana Niaga Berkah,"Beli Tabung Oksigen Fullset  https://tokopedia.link/cgeXns0jAhb di toko CV Sarana Niaga Berkah Rp2.600.000 di Tokopedia dengan Bebas Ongkir, Sekarang!",088293315551,Jatiasih,Bekasi,Jual Indent / Pesan 7 hari
Surabaya Oksigen,www.surabayaoksigen.com,081249934301,"Jl. Gubeng Kertajaya 7K No. 1 Surabaya
Jl. Galangan No. 10 Semampir Barat, Sedati Sidoarjo","Surabaya
Sidoarjo","Pembelian, isi ulang, sewa"
,,,F,,
Oksigen Medis Surabaya,,081216547088,Jl. Wiyung Tengah I No 17 RT 01 RW 02,Surabaya,Pembelian Tabung/ Isi Ulang / Sewa. Buka 24 Jam
PUTRA JAYA GAS,-,No. Hp 0812 8862 7485 Wa. 0815 1719 9684,Jl. Raya Balaraja Kresek Kp. Merak RT 009/001 Ds. Merak Kec. Sukamulya Kab. Tangerang Banten.,Tangerang/Banten,Isi ulang dan sewa tabung
REFFIL OKSIGEN CIMUNING,,087782998195,https://maps.app.goo.gl/HCQJFnuaqzAt9b7f7,,
Isi ulang oxygen sunan Jaya gas,,089519698050,"Jln. Jati Sari RT 006 /RW 003, Pondok jati Utara, kel : jurangmangu Barat, kec: pondok Aren",Tangerang Selatan ,Isi ulang tabung oksigen
UMP Balong Gas,tidak ada link,085774423313,"Jl. Raya kaliabang tengah No.111 Rt 013/ Rw 06, Bekasi Utara 17125",Kota Bekasi,Sewa tabung oksigen dan Isi ulang tabung oksigen
ferdiant,,085842739383,JL Sadewa Utara E-2 Semarang,semarang / Jawa tengah,isi ulang tabung oksigen
CV BERKAT ALAM SEJAHTERA,https://www.google.co.id/search?q=cv+berkat+alam+sejahtera&ie=UTF-8&oe=UTF-8&hl=id-id&client=safari#,081230121988,"JL. KEBRAON II NO.61 
Kec. KARANG PILANG, SURABAYA",SURABAYA,Isi ulang OKSIGEN. Jam buka: senen-jum’at 08.00-16.00. Sabtu 08.00-14.00. MINGGU TUTUP. 
Ito Oksigen,,,"Jl. Pasar Kecapi No.99a, RT.001/RW.018, Jatirahayu, Kec. Pd. Melati, Kota Bks, Jawa Barat 17415",Bekasi,Isi Ulang Tabung Oksigen
CV. Varia Gas Mulia,https://g.co/kgs/KuT2zz,08125595062,"Jl. Kembang Kuning Kulon Gang 3 No.11B, RT 006/RW 06, Kel. Pakis, Kec. Sawahan.",Kota Surabaya,"Pembelian/Sewa tabung oksigen kecil atau besar, isi ulang tabung oksigen, pembelian/sewa regulator dan selang oksigen"
Rizky Oksigen,TOKO TABUNG OKSIGEN & ISI ULANG OKSIGEN 0877-7546-4667 https://maps.app.goo.gl/2H2pHEvTkPcQ2E4Q7,087775464667,"Jl. Gondang Sari, RT.15/RW.9, No.4 Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13790",Jakarta Timur,"Jual beli baru dan second, sewa, isi ulang "
Permata ohs,,085710850840,Jl. Raya siliwangi,Bekasi,Isi ulang tabung oksigen
Isi Ulang Oksigen Lae,,081386953787,"Jl. Asem Jaya No.51, RT.001/006/RW.006, Mustika Jaya, Kec. Mustika Jaya",Bekasi,Isi Ulang Tabung Open 7.30 - 22.00
Arnez De Lourdez,https://myalkes.com/store-location/,+6221 74863936,"Arnez – Bintaro

Ruko Sentra Menteng Blok MN 88 Q

Sekto VII Bintaro

Ph. +6221 74863936, 7450505

Fax: +622174863936

Tangerang",Jakarta Selatan,"Pembelian, isi ulang"
C.O.M Oksigen Medis (24 jam),,+62 812-2221-5097,Jalan Gunung Sari 112 B Surabaya (Depan Pasar Ikan Hias Gunung Sari),Surabaya,Isi Ulang Tabung Oksigen
Restu Fadhil Gas,,081220094510,Arcamanik - Bandung,Kota Bandung,AGEN ISI ULANG OKSIGEN MEDICAL BUKA 24 JAM & SIAP ANTAR
,,,"Semanan, Kalideres",Jakarta Barat,
,,,,Jakarta Barat,Isi Ulang Tabung Oksigen
Rina Jaya Gas,,082121666052,"Komplek Pondok Arum Blok A2 No. 07 Nambo Jaya, Karawaci Kota Tangerang Banten. (Gak jauh dari jalan raya masuk ke pondok arum, Buka sampe jam 2-3 pagi - per tgl 3 juli harga 35rb per M3) ",Tangerang,Pengisian Gas Kesehatan Oksigen
Stainless Stell Oksigen/Isi Ulang Oksigen,https://maps.app.goo.gl/xCf2NcRqewe1uMi68,021-74701777,"Jl. RE. Martadinata No. 48, Ciputat",Tangerang Selatan,Isi Ulang
OXYGOLD,,082116993330,"Jl. Rumah Sakit No.24, Pakemitan, Cinambo, Kota Bandung, Jawa Barat 45474",Bandung,Isi ulang OKSIGEN – OXYGOLD
CV Yuga Sarana Medika,,085213900193,"Jl. Ciledug Raya, Kebayoran Lama, Jaksrta Selatan (Persis di lampu merah pertigaan swadarma) ",Jakarta Selatan,"Menjual dan menyewakan alat2 kesehatan seperti tabung oksigen, tempat tidur, kursi roda, tiang infus, suction pump, monitor pasien, infus pump, dll. Isi ulang tabung oksigen"
Karyaguna gas,https://karyagunagas.com/contact-us/,089660660945,Jl. Tegar Beriman Raya No. 88A Desa Bojong Baru - Cibinong ,Depok / Bogor,Sewa tabung
RKM Gas/Alfa Refill Oxygen,https://refillgas.co.id/,+62 896-1309-0356,Cipinang Muara III,Jakarta Timur,"Tukar tabung hingga 6 kubik, jam buka 08.30-21.00"
Karina Gases ,,081333069814,"Jl. Gubeng Kertajaya V. E No.20, Airlangga, Kec. Gubeng",Kota Surabaya,Pembelian Tabung / Isi Ulang Tabung Oksigen
Restu Jaya Gas Medical Oxygen,https://maps.app.goo.gl/98JfiNEWANAffp397,081281202460," Jl. Pekapuran Raya, Sukatani, Kec. Tapos, Kota Depok, Jawa Barat 16454",Depok/Bogor/Jakarta Timur,"Isi Tabung Oksigen, buka jam 07.00 - 21.00"
Isi ulang tabung oksigen,,085101176345,"Perum Permata, Jl. Cendana VI No.31, Pekuncen, Raci Tengah, Kec. Sidayu, Kabupaten Gresik",Kab Gresik,Pembelian Tabung / Isi Ulang Tabung Oksigen 
,,089675814931,"Jl. Perum Pejaya Anugrah Blk. M No.6, Sritanjung, Wage, Kec. Taman, Kabupaten Sidoarjo, ",Sidoarjo, Isi Ulang Tabung Oksigen
Ninda Oksigen,nindaoksigen.business.site,082215161100,"Jl. Kolonel Sugiyono No.70, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",Yogyakarta,"Pembelian tabung, isi ulang, sewa tabung"
Toko alat kesehatan Mulyajaya,,+6281232966800 / 0851-0444-8000,"Ruko taman jenggala mas RTB 15
Jl. Sunandar P.Sudarmo
ruko setelah pom bensin Pasar Larangan
Sidoarjo",Kota Sidoarjo,Pembelian Tabung / Isi Ulang Tabung Oksigen 
CV.candi Oxygen,,031- 99010315-16,Pergudangan SAFE N LOCK. jl. Lingkar timur km 5.5 blok K 1726-1729 sidoarjo,Sidoarjo,Beli / Isi ulang
Alkesmart,,+62811-3405-100,"Jl. Pucang Anom timur IV no 12
Surabaya",Surabaya,Beli / Isi ulang
MITRA GAS,,081553879155,Jl. Gubeng Gg VI/H no. 12. ,Surabaya,
Toko alat kesehatan Mulyajaya Medilab,,+62822-9966-5800 / +62822-2998-9977,"Jl. Teuku Umar no 91
Depan SMP negeri 2
Bojonegoro",Bojonegoro,
Isi Oksigen Yogyakarta,,0274413960,Jln Sorosutan,Yogyakarta,
Isi oksigen Yogya,,+6282215161100,Jln Kol Sugiono,Yogyakarta,
Isi O2 Jogjakarta,,+6281327115567,JL. Bugisan,Yogyakarta,
Cazzma Oksigen Medika ,,082233077735,Jl. Gunungsari II no 212,Surabaya,
Suplier Oksigen,,081311152762,"JL. Pondok Rangon No.29
Kec cipayung Pondok Rangon",Jakarta,
